,to,from,year,decision,text
91,tuvalu,Brazil,2014,accept,82.18. Maintain and strengthen efforts towards the establishment of a fully-fledged National Human Rights Institution (Brazil); 
92,tuvalu,Viet Nam,2014,accept,"82.19. Step up efforts in implementing the current national priorities, including the policy for youth and women advancement, Education Strategic Plan, Climate Change Adaptation Program and the National Sustainable Development Strategy (Viet Nam); "
93,tuvalu,Nigeria,2014,accept,"82.20. Strengthen its commitment to empowering women and youth and continue to build on the achievements already made and expedite action on its review of the National Youth Police, which is currently underway (Nigeria); "
94,tuvalu,Algeria,2014,accept,82.21. Consider adopting a National Plan adapted for children and early childhood (Algeria); 
95,tuvalu,Morocco,2014,accept,82.22. Continue its efforts to train law enforcement personnel on human rights protection (Morocco); 
96,tuvalu,Morocco,2014,accept,82.23. Continue its efforts to inform and raise awareness of the population on human rights principles (Morocco); 
97,tuvalu,Malaysia,2014,accept,82.24. Continue its positive approach with regard to the promotion of human rights through its education system (Malaysia); 
98,tuvalu,Philippines,2014,accept,82.25. Continue to actively engage its regional and international partners to mobilize the necessary resources for the implementation of its human rights program (Philippines); 
99,tuvalu,Morocco,2014,accept,82.26. Call upon the UN bodies and other donors to provide all necessary technical and financial support to help them to meet their human rights obligations (Morocco); 
100,tuvalu,Montenegro,2014,accept,82.27. Extend a standing invitation to all thematic special procedures (Montenegro); 
101,tuvalu,Guatemala,2014,accept,82.28. Extend an open invitation to the Special Procedures (Guatemala); 
102,tuvalu,Indonesia,2014,accept,82.29. Continue and enhance the efforts in promoting and protecting the rights of vulnerable groups including women and persons with disabilities (Indonesia); 
103,tuvalu,Chile,2014,accept,82.30. Strengthen legal and administrative provisions to eliminate all forms of discrimination based on sex and gender (Chile); 
104,tuvalu,Uruguay,2014,accept,"82.31. Carry out a comprehensive legal review of its domestic legislation and traditional practices to amend or eliminate those cultural practices and stereotypes which discriminate against women, bearing in mind its condition as State party to the Convention on the Elimination of All Forms of Discrimination against Women, while implementing innovative measures addressed to youth and adults to increase the understanding of the concept of equality between women and men and to present a positive and non-stereotypical image of women (Uruguay); "
105,tuvalu,Italy,2014,accept,"82.32. Work out and implement all those necessary measures, including legislative revisions, aiming at tackling discrimination and stereotypes against women, in particular those conducive to abuses and violence (Italy); "
106,tuvalu,Malaysia,2014,accept,82.33. Continue its efforts in promoting gender equality including expanding the role of women in its national development (Malaysia); 
107,tuvalu,Guatemala,2014,accept,82.34. Continue to work to achieve gender equality in the country (Guatemala); 
108,tuvalu,Thailand,2014,accept,"82.35. Consider strengthening its policy and relevant legislation, as well as allocating adequate resources, to further promote gender equality and womenÕs participation in public life (Thailand); "
109,tuvalu,Algeria,2014,accept,"82.36. Pursue the efforts aiming at promoting women rights and ensuring gender equality, with particular attention to the access of women to justice and women participation in public life (Algeria); "
110,tuvalu,Australia,2014,accept,"82.37. Take further steps to increase womenÕs empowerment, including in political and economic life, and through local and national implementation of effective measures to address domestic violence and gender discrimination (Australia); "
111,tuvalu,Spain,2014,accept,"82.38. Implement policies to combat discrimination against women, both in public and private life (Spain); "
112,tuvalu,Brazil,2014,accept,"82.39. Continue to promote and strengthen the realization of womenÕs rights, with special attention on equal rights and opportunities in the labor market (Brazil); "
113,tuvalu,Trinidad and Tobago,2014,accept,82.40. Strengthen its national machinery to promote gender equality and gender mainstreaming (Trinidad and Tobago); 
114,tuvalu,Canada,2014,accept,"82.41. Continue to combat discriminatory societal behaviours, in particular discrimination against women in law and practice, and take further steps to address violence against women, and domestic violence in particular  (Canada); "
115,tuvalu,Netherlands,2014,accept,"82.42. Continue its efforts to guarantee gender equality by, for example, launching a public awareness campaign in order to stop violence against women and impunity for crimes against women (Netherlands); "
116,tuvalu,United Kingdom of Great Britain and Northern Ireland,2014,accept,"82.43. Pass and implement its proposed legislation to prevent violence against women and adopt a strategy to properly tackle the unequal status of women in many areas including education, public life and decision-making (United Kingdom of Great Britain and Northern Ireland); "
117,tuvalu,France,2014,accept,82.44. Adopt appropriate laws to combat violence against women in general and domestic violence in particular (France); 
118,tuvalu,Singapore,2014,accept,"82.45. Continue to combat violence against women and promote gender equality, with assistance from the UN Women and other relevant organizations (Singapore); "
119,tuvalu,Senegal,2014,accept,82.46. Continue the efforts made within the framework of fighting violence against women (Senegal); 
120,tuvalu,Slovakia,2014,accept,"82.47. Reinforce measures addressing violence against women, in particular the domestic violence, ensuring due accountability for perpetrators and increasing victimsÕ access to justice (Slovakia); "
121,tuvalu,Slovenia,2014,accept,82.48. Create an institutional strategy to reduce domestic violence (Slovenia); 
122,tuvalu,Maldives,2014,accept,"82.49. Consolidate the development of a comprehensive national framework in addressing all forms of violence against women, through the adoption of the Domestic Violence Bill, and harmonize domestic law with the provisions of the Convention on the Elimination of All Forms of Discrimination against Women (Maldives); "
123,tuvalu,New Zealand,2014,accept,82.50. Enact the Family Protection and Domestic Violence Bill and continue efforts to increase and extend public awareness on domestic violence issues to the Outer Islands (New Zealand); 
124,tuvalu,Azerbaijan,2014,accept,82.51. Continue its internal measures for the adoption of the Family Protection and Domestic Violence Bill (Azerbaijan); 
125,tuvalu,Italy,2014,accept,"82.52. Support the Family Protection and Domestic Violence draft Bill with an institutional strategy and sufficient resources to enhance the prevention of domestic violence, combat impunity and grant adequate access to justice for the victims (Italy); "
126,tuvalu,Hungary,2014,accept,82.53. Harmonize its Penal Code and legislation with the CRC in order to eradicate corporal punishment of children in schools and other settings (Hungary); 
127,tuvalu,Spain,2014,accept,"82.54. Opt for the prohibition of the use of corporal punishments, especially those involving minors (Spain); "
128,tuvalu,France,2014,accept,82.55. Strengthen the proper functioning of the PeopleÕs Lawyers Office by providing financial and technical support in order that everybody has the right to a due process and legal representation (France); 
129,tuvalu,Uruguay,2014,accept,"82.56. Implement, with the assistance of the international cooperation, a complaints system to guarantee the effective access of women to justice, in accordance with the provisions of the Convention on the Elimination of All Forms of Discrimination against Women (Uruguay); "
130,tuvalu,United States of America,2014,accept,82.57. Implement the Religious Organizations Restriction Act of 2010 consistent with its terms and with full respect for international religious freedom (United States of America); 
131,tuvalu,United States of America,2014,accept,82.58. Organize a by-election in Nukufetau as soon as practicable (United States of America); 
132,tuvalu,Mexico,2014,accept,82.59. Implement policies to promote food security (Mexico); 
133,tuvalu,Trinidad and Tobago,2014,accept,82.60. Comply with the UN Special RapporteurÕs recommendation to adopt and implement a national water strategy and plan of action covering the entire population (Trinidad and Tobago); 
134,tuvalu,Spain,2014,accept,82.61. Increase the initiatives to guarantee access for all to drinking water and sanitation (Spain); 
135,tuvalu,Maldives,2014,accept,"82.62. Move forward, at the earliest possible opportunity, with the adoption of the draft Water Act to establish a legal framework and put in place water resources and sanitation infrastructure, including adequate collection, storage and distribution mechanisms to alleviate the challenges of scarcity and to ensure that all its citizenÕs right to safe drinking water and sanitation are safeguarded (Maldives); "
136,tuvalu,Slovenia,2014,accept,"82.63. Adopt and implement a national water strategy and plan of action covering the entire population, and make access to water and sanitation affordable to all (Slovenia); "
137,tuvalu,Spain,2014,accept,"82.64. Include, among the priorities of the Second National Strategic Development Plan, the access to sanitation along with access to drinking water which is already contained (Spain); "
138,tuvalu,Hungary,2014,accept,"82.65. Improve access to education for children living in rural areas and adopt further measures, special laws and awareness programs to promote gender equality in education (Hungary); "
139,tuvalu,Costa Rica,2014,accept,82.66. Continue efforts to guarantee the full inclusion of persons with disabilities in all spheres of society (Costa Rica); 
140,tuvalu,Singapore,2014,accept,"82.67. Continue to implement its NAPA to address the impacts of climate change, with assistance from UNPD, the Global Environment Fund and other relevant international stakeholders (Singapore); "
141,tuvalu,Mexico,2014,accept,"82.68. Formulate, in cooperation with regional and United Nations mechanisms, a plan for the management and mitigation of natural disasters which includes potential mass displacements of the population (Mexico). "
142,tuvalu,Uruguay,2014,examine,"83.1. Consider the possibility of amending the National Constitution to include a safeguard against statelessness, which establishes the acquisition of Tuvaluan nationality for children born in the territory who otherwise would be stateless (Uruguay); "
143,tuvalu,Slovakia,2014,examine,"83.2. Include legislative safeguard against statelessness with regards to children born in its territory, who would otherwise be stateless, to acquire Tuvaluan nationality (Slovakia). "
144,tuvalu,Montenegro,2014,reject,84.1 Become party to the UN core human rights treaties and continue its efforts towards this aim (Montenegro); 
145,tuvalu,Germany,2014,reject,84.2. Step up its recent efforts and ratify the core human rights treaties and other main relevant international instruments (Germany); 
146,tuvalu,Maldives,2014,reject,84.3. Accede to the International Covenant on Civil and Political Rights as a priority (Maldives); 
147,tuvalu,Estonia,2014,reject,84.4. Accede to the International Covenant on Civil and Political Rights and its optional protocols (Estonia); 
148,tuvalu,France,2014,reject,"84.5. Ratify as soon as possible the main international human rights treaties, mainly the International Covenant on Civil and Political Rights and the International Covenant on Economic, Social and Cultural Rights and ensure their effective implementation (France); "
149,tuvalu,Slovenia,2014,reject,"84.6. Ratify other core human rights treaties, particularly the International Covenant on Civil and Political Rights and the International Covenant on Economic, Social and Cultural Rights (Slovenia); "
150,tuvalu,Spain,2014,reject,"84.7. Ratify, as soon as possible, the International Covenant on Economic, Social and Cultural Rights, the International Covenant on Civil and Political Rights and the respective optional protocols to those Covenants (Spain); "
151,tuvalu,Trinidad and Tobago,2014,reject,"84.8. Ratify the International Covenant on Economic, Social and Cultural Rights and the International Covenant on Civil and Political Rights (Trinidad and Tobago); "
152,tuvalu,Ireland,2014,reject,"84.9. Ratify the International Covenant on Civil and Political Rights and the International Covenant on Economic, Social and Cultural Rights (Ireland); "
153,tuvalu,Guatemala,2014,reject,84.10. Ratify the Convention against Torture (Guatemala); 
154,tuvalu,Estonia,2014,reject,84.11. Accede to the Convention on the Prevention and Punishment of the Crime of Genocide (Estonia); 
155,tuvalu,Slovakia,2014,reject,84.12. Proceed with the full incorporation of human rights treaties to which Tuvalu is a party into its domestic legal system (Slovakia); 
156,tuvalu,France,2014,reject,84.13. Incorporate into domestic legislation the provisions of the Convention on the Elimination of All Forms of Discrimination against Women and of the Convention on the Rights of the Child (France); 
157,tuvalu,Hungary,2014,reject,"84.14. Fully incorporate the provisions of the Convention on the Elimination of All Forms of Discrimination against Women into its domestic legal system, including through the on-going process of the amendment of the Constitution (Hungary); "
158,tuvalu,Maldives,2014,reject,84.15. Establish a national human rights institution that is fully compliant with the Paris Principles (Maldives); 
159,tuvalu,Morocco,2014,reject,84.16. Establish a national human rights institution in conformity with the Paris Principles (Morocco); 
160,tuvalu,Netherlands,2014,reject,"84.17. Ratify the main human rights treaties and investigate the possibility of the establishment of a national human rights institute, if necessary with assistance from the UN and UN member states (Netherlands); "
161,tuvalu,United Kingdom of Great Britain and Northern Ireland,2014,reject,84.18. Repeal all provisions that criminalise consensual same-sex conduct and ensure that anti-discrimination laws cover sexual orientation (United Kingdom of Great Britain and Northern Ireland); 
162,tuvalu,United States of America,2014,reject,84.19. Support repeal of the provision of the Penal Code criminalizing consensual sex between adult males (United States of America); 
163,tuvalu,France,2014,reject,84.20. Introduce in the Constitution the prohibition on gender and sex based discrimination similar to that relating to racial or religious discrimination (France); 
164,tuvalu,"84.21. Amend section 27 paragraph 1 of the Constitution, incorporate into the legislation the principle of equality between women and men and a ",2014,reject,"84.21. Amend section 27 paragraph 1 of the Constitution, incorporate into the legislation the principle of equality between women and men and a "
165,tuvalu,Slovakia,2014,reject,84.22. Amend countryÕs Constitution and enact other appropriate legislation to prohibit discrimination on gender grounds (Slovakia); 
166,tuvalu,Uruguay,2014,reject,"84.23. Adopt, as a matter of priority, all legal and administrative measures to prohibit and punish corporal punishment of children in all settings, including at home (Uruguay); "
167,tuvalu,Chile,2014,reject,84.24. Adopt legal and administrative measures to eliminate all forms of corporal punishment of children (Chile); 
168,tuvalu,Mexico,2014,reject,84.25. Adopt necessary legislative and administrative measures to guarantee freedom of religion (Mexico); 
169,tuvalu,Canada,2014,reject,84.26. Make changes to the Constitution Amendment Act of 2010 to fully guarantee freedom of religion or belief (Canada); 
170,tuvalu,Ireland,2014,reject,84.27. Amend or repeal the Religious Organisations Act so as to establish a legal framework ensuring that everyone is free to practice his or her own religious faith without penalty (Ireland). 
171,kazakhstan,Mexico,2014,accept,"124.1 Adopt legislative measures to criminalize torture, violence against women and trafficking in persons in line with international standards (Mexico); "
172,kazakhstan,Czech Republic,2014,accept,124.2 Speed up the effective implementation of the six universal periodic review recommendations made by the Czech Republic and accepted by Kazakhstan in 2010 (Czech Republic);  
173,kazakhstan,Argentina,2014,accept,"124.3 Adopt legislation for fighting discrimination, in particular discrimination against women, and include mechanisms for effective protection and access to legal remedies (Argentina); "
174,kazakhstan,Brazil,2014,accept,"124.4 Define criminal offences, in particular those in article 164 of the Criminal Code on incitement to national, ethnic or racial enmity or discord, or insult to the national honour and dignity or religious feelings of citizens, in accordance with international human rights law, and giving special attention to the right to freedom of expression (Brazil); "
175,kazakhstan,Chile,2014,accept,"124.5 Clearly define criminal offences provided for under article 164 of the Criminal Code, such as the incitement to hatred or discord on ethnic or racial grounds, or affronts to national honour and to religious dignity and believes, so that they are in line with international norms on freedom of expression (Chile); "
176,kazakhstan,Canada,2014,accept,"124.6 Enact specific legislation that prohibits discrimination against women and on the basis of sexual orientation, and develop a system through which all individuals can safely report cases of discrimination and access avenues of redress (Canada); "
177,kazakhstan,India,2014,accept,124.7 Strengthen the protection of women by considering the enactment of a specific law on violence against women (India); 
178,kazakhstan,Belgium,2014,accept,"124.8 Strengthen the legislative framework through the criminalization of all forms of violence against women and children, including within the family, and foresee infrastructures to shelter victims (Belgium); "
179,kazakhstan,Slovenia,2014,accept,124.9 Revise the legislation to cover all forms of violence against women (Slovenia); 
180,kazakhstan,Slovenia,2014,accept,124.10 Enact the draft law on domestic violence in full compliance with the international human rights standards (Slovenia); 
181,kazakhstan,Sierra Leone,2014,accept,124.11 Put in place legislation which formally criminalizes violence against women (Sierra Leone); 
